Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['2', '16', '25', '31', '32', '3'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['4', '9', '11', '17', '24', '25'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 0
Guess time: 32, Issue： 2019113 baseM: 1745, result: 15, red_balls: ['2', '6', '11', '29', '32', '7'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 15, red_correct: 0
Guess time: 45, Issue： 2019126 baseM: 1640, result: 15, red_balls: ['15', '21', '26', '27', '32', '24'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 56, Issue： 2019137 baseM: 1555, result: 15, red_balls: ['1', '9', '10', '15', '32', '11'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 81, Issue： 2020011 baseM: 1355, result: 40, red_balls: ['4', '5', '7', '18', '23', '21'], blue_ball: 6, act_red_balls: ['4', '5', '7', '17', '18', '29'], act_blue_ball: 1, ret: 40, red_correct: 4
Guess time: 96, Issue： 2020026 baseM: 1230, result: 15, red_balls: ['7', '13', '14', '21', '30', '15'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 97, Issue： 2020027 baseM: 1245, result: 15, red_balls: ['7', '8', '9', '26', '29', '11'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 106, Issue： 2020036 baseM: 1180, result: 15, red_balls: ['9', '11', '23', '29', '33', '3'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 128, Issue： 2020058 baseM: 1960, result: 990, red_balls: ['1', '3', '12', '16', '26', '19'], blue_ball: 6, act_red_balls: ['1', '3', '11', '12', '19', '26'], act_blue_ball: 7, ret: 990, red_correct: 5
Guess time: 146, Issue： 2020076 baseM: 1805, result: 15, red_balls: ['9', '16', '17', '20', '23', '19'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 156, Issue： 2020086 baseM: 1730, result: 15, red_balls: ['3', '7', '8', '15', '18', '11'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 160, Issue： 2020090 baseM: 1715, result: 15, red_balls: ['10', '11', '17', '19', '31', '14'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 217, Issue： 2021013 baseM: 1170, result: 15, red_balls: ['1', '6', '7', '21', '27', '23'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 218, Issue： 2021014 baseM: 1185, result: 15, red_balls: ['1', '8', '13', '16', '28', '4'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 222, Issue： 2021018 baseM: 1170, result: 15, red_balls: ['2', '5', '9', '25', '30', '15'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 226, Issue： 2021022 baseM: 1155, result: 15, red_balls: ['10', '12', '19', '29', '33', '20'], blue_ball: 6, act_red_balls: ['10', '15', '17', '25', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 237, Issue： 2021033 baseM: 1095, result: 40, red_balls: ['12', '13', '27', '28', '33', '7'], blue_ball: 6, act_red_balls: ['2', '12', '13', '14', '31', '33'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 242, Issue： 2021038 baseM: 1070, result: 15, red_balls: ['3', '6', '21', '22', '28', '10'], blue_ball: 6, act_red_balls: ['5', '7', '9', '16', '18', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 250, Issue： 2021046 baseM: 1015, result: 15, red_balls: ['12', '17', '23', '24', '33', '27'], blue_ball: 6, act_red_balls: ['5', '9', '13', '21', '28', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 280, Issue： 2021076 baseM: 765, result: 40, red_balls: ['2', '9', '17', '20', '30', '23'], blue_ball: 6, act_red_balls: ['3', '9', '21', '23', '30', '32'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 292, Issue： 2021088 baseM: 670, result: 15, red_balls: ['3', '10', '17', '31', '32', '26'], blue_ball: 6, act_red_balls: ['4', '12', '15', '16', '19', '26'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 297, Issue： 2021093 baseM: 670, result: 40, red_balls: ['5', '8', '14', '28', '33', '23'], blue_ball: 6, act_red_balls: ['5', '11', '15', '23', '28', '33'], act_blue_ball: 3, ret: 40, red_correct: 4
Guess time: 315, Issue： 2021111 baseM: 515, result: 15, red_balls: ['3', '6', '10', '29', '32', '33'], blue_ball: 6, act_red_balls: ['17', '20', '22', '23', '26', '28'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 320, Issue： 2021116 baseM: 515, result: 40, red_balls: ['9', '12', '17', '18', '23', '14'], blue_ball: 6, act_red_balls: ['6', '14', '17', '18', '31', '33'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 334, Issue： 2021130 baseM: 425, result: 40, red_balls: ['4', '9', '15', '18', '19', '30'], blue_ball: 6, act_red_balls: ['8', '9', '15', '24', '26', '30'], act_blue_ball: 6, ret: 40, red_correct: 3
Guess time: 357, Issue： 2022003 baseM: 220, result: 15, red_balls: ['10', '15', '21', '31', '33', '7'], blue_ball: 6, act_red_balls: ['2', '5', '16', '17', '18', '30'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 376, Issue： 2022022 baseM: 55, result: 15, red_balls: ['5', '12', '14', '20', '30', '27'], blue_ball: 6, act_red_balls: ['1', '7', '11', '15', '17', '19'], act_blue_ball: 6, ret: 15, red_correct: 0
base_money is negative, stop, totally round: 382
Guess time: 20, Issue： 2019101 baseM: 1815, result: 15, red_balls: ['5', '18', '22', '31', '32', '30'], blue_ball: 5, act_red_balls: ['1', '4', '9', '21', '31', '33'], act_blue_ball: 5, ret: 15, red_correct: 1
Guess time: 25, Issue： 2019106 baseM: 1790, result: 15, red_balls: ['1', '4', '8', '25', '33', '28'], blue_ball: 14, act_red_balls: ['2', '14', '22', '27', '30', '33'], act_blue_ball: 14, ret: 15, red_correct: 1
Guess time: 32, Issue： 2019113 baseM: 1770, result: 40, red_balls: ['1', '2', '21', '25', '27', '6'], blue_ball: 15, act_red_balls: ['1', '5', '19', '21', '25', '33'], act_blue_ball: 15, ret: 40, red_correct: 3
Guess time: 45, Issue： 2019126 baseM: 1665, result: 15, red_balls: ['5', '16', '19', '28', '29', '24'], blue_ball: 16, act_red_balls: ['2', '14', '17', '29', '32', '33'], act_blue_ball: 16, ret: 15, red_correct: 1
Guess time: 56, Issue： 2019137 baseM: 1580, result: 15, red_balls: ['3', '6', '8', '16', '24', '2'], blue_ball: 6, act_red_balls: ['7', '10', '13', '19', '23', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 96, Issue： 2020026 baseM: 1205, result: 15, red_balls: ['5', '7', '8', '27', '31', '6'], blue_ball: 6, act_red_balls: ['1', '4', '9', '18', '19', '31'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 97, Issue： 2020027 baseM: 1220, result: 15, red_balls: ['1', '12', '16', '18', '22', '24'], blue_ball: 6, act_red_balls: ['12', '13', '14', '24', '25', '28'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 106, Issue： 2020036 baseM: 1155, result: 15, red_balls: ['3', '12', '24', '25', '32', '5'], blue_ball: 6, act_red_balls: ['7', '9', '16', '22', '24', '32'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 146, Issue： 2020076 baseM: 780, result: 15, red_balls: ['13', '16', '18', '19', '30', '9'], blue_ball: 6, act_red_balls: ['10', '15', '16', '18', '20', '27'], act_blue_ball: 6, ret: 15, red_correct: 2
Guess time: 156, Issue： 2020086 baseM: 705, result: 15, red_balls: ['11', '16', '17', '23', '33', '22'], blue_ball: 6, act_red_balls: ['2', '4', '6', '15', '24', '27'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 160, Issue： 2020090 baseM: 690, result: 15, red_balls: ['7', '11', '14', '25', '28', '27'], blue_ball: 6, act_red_balls: ['2', '21', '23', '26', '31', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 217, Issue： 2021013 baseM: 145, result: 15, red_balls: ['22', '23', '26', '29', '32', '19'], blue_ball: 6, act_red_balls: ['6', '9', '12', '16', '27', '31'], act_blue_ball: 6, ret: 15, red_correct: 0
Guess time: 218, Issue： 2021014 baseM: 160, result: 15, red_balls: ['7', '13', '27', '29', '31', '30'], blue_ball: 6, act_red_balls: ['4', '15', '21', '25', '29', '33'], act_blue_ball: 6, ret: 15, red_correct: 1
Guess time: 222, Issue： 2021018 baseM: 145, result: 15, red_balls: ['4', '20', '22', '26', '33', '27'], blue_ball: 6, act_red_balls: ['2', '8', '14', '23', '25', '32'], act_blue_ball: 6, ret: 15, red_correct: 0
